Northland
Cairnfield House,09 437 0186,cairnfieldhouse@xtra.co.nz
Claud Switzer Memorial Trust,09 408 1481,switzerrescare@xtra.co.nz
Kamo Home & Village Charitable Trust,09 435 5800,gm@kamohome.co.nz
Kauri Coast Rest Home and Hospital,09 439 6367,DLkauricoast@bupa.co.nz
Kerikeri Village Trust,09 407 0070,dmin@kvtrust.org.nz
Maungaturoto Rest Home,09 431 8696,ungaturotoresthome@gmail.com
Merrivale Care Home,09 435 3388,nn.mcateer@bupa.co.nz
Norfolk Court Rest Home Ltd,09 439 6214,norfolkcourt@xtra.co.nz
Oakridge Villas,09 407 8549,craig@metlifecare.co.nz
Puriri Court LIfecare,09 437 3126,nager.puriricourt@hll.org.nz
Radius Baycare Home & Hospital Ltd,09 402 7112,pam.hughes@rrcl.co.nz
Radius Lester Heights Hospital,09 438 3909,sue.bellington@rrcl.co.nz
Radius Rimu Park,09 437 3933,radiusrimupark@rrcl.co.nz
Radius Potter Home,09 438 2668,ndy.beazley@rrcl.co.nz
Rose Garden Rest Home,09 438 2755,rosegardenresthome@gmail.com
Selwyn Park,09 438 1099,selwynpark@selwyncare.org.nz
Shalom Aged Care Ltd,09 437 6511,shalomagedcare@xtra.co.nz
Totara Park Village,09 425 8847,rapark@oceaniahealthcare.co.nz
Ultimate Care Ranburn,09 432 0675,ranburn@ultimatecare.co.nz
Whangaroa Health Services Trust,09 405 0355,whstmanager@clear.net.nz
"Auckland, Waitemata and Counties Manukau "
Amberwood Rest Home     ,09 832 2728,berwood@oceaniahealthcare.co.nz
Ambridge Rose Cottage,09 535 5863,nfo@ambridgerose.co.nz
Ambridge Rose Manor Ltd     ,09 576 2590,n@ambridgerose.co.nz
Ambridge Rose Villa,09 576 7917,nfo@ambridgerose.co.nz
Anne Maree Court ,09 418 3118,nnemareecourt@ihug.co.nz
Anne Maree Gardens     ,09 828 3741,nnemareegardens@ihug.co.nz
Aranui Home & Hospital ,09 846 2944,nager@aranui.co.nz
Aria Bay Retirement,09 479 1871,dmin@ariabay.co.nz
Aria Gardens,09 415 7035,dmin@ariagardens.co.nz
Aria Park Retirement Village,09 630 8430,nager@ariapark.co.nz
Ascot House Retirement Home  ,09 445 2518,rishworth@ascothouse.co.nz
Avondale Lifecare,09 828 0109,nager.avondale@hll.org.nz
Baradene Convent ,09 520 0379,nursemanagerrscj@gmail.com
Beachview House,09 421 1428,
Bethesda Care Ltd,09 262 5650,jonmarshall@bethesda.org.nz
Briargate Healthcare,09 444 4484,nfo@briargate.co.nz
Bucklands Beach Rest Home,09 532 8376,bbrh@xtra.co.nz
Capella House,09 627 9780,nfo@capellahouse.co.nz
Carnarvon Private Hospital Trust   ,09 838 8348,carnarvon@xtra.co.nz
Catherine Lodge Rest Home    ,09 625 6741,c.k.henriksen@xtra.co.nz
Chadderton Rest Home,09 524 2169,kapsan@xtra.co.nz
CHT Amberlea ,09 425 5017,berlea@cht.co.nz
CHT Halldene,09 426 3252,halldene@cht.co.nz
CHT Hillcrest     ,09 275 8349,hillcrest@cht.co.nz
CHT Lansdowne  ,09 535 4244,nsdowne@cht.co.nz
CHT Onewa,09 481 0447,newa@cht.co.nz
CHT Peacehaven     ,09 627 8653,peacehaven@cht.co.nz
CHT Royal Oak    ,09 636 6211,royaloak@cht.co.nz
CHT St Christopher's    ,09 278 4637    09 278 0244,stchristophers@cht.co.nz
CHT St John's     ,09 625 6054,stjohns@cht.co.nz
CHT St Margaret's,09 834 4963,stmargarets@cht.co.nz
CHT Waiuku ,09 235 6955,waiuku@cht.co.nz
Cornwall Park Hospital,09 524 4429,shradha.pretap@bupa.co.nz
Cromwell House Hospital,09 524 7702,cromwellhouse@xtra.co.nz
David Lange,09 256 0092,ella.watson@bupa.co.nz
Eastcliffe on Orakei   ,09 521 9015,penelope@eastcliffe.co.nz
Eden Care,09 213 5070,eden@oceaniahealthcare.co.nz
Edenvale Home and Hospital     ,09 630 6482,rlene@edenvale.org.nz
Edmund Hillary Retirement Village  ,09 570 0070,nigel.barnhill@edmundhillaryretirementvillage.co.nz
Elizabeth Knox Home & Hospital     ,09 523 3119,jillw@knox.co.nz
Ellerslie Gardens Lifecare,09 570 1101,nager.ellersliegardens@hll.org.nz
Elmwood ,09 269 0750,elmwood@oceaniahealthcare.co.nz
Erin Park Rest Home,09 267 0058,elaine.marshall@bupa.co.nz
Everil Orr     ,09 815 2740,everilorr@oceaniahealthcare.co.nz
Eversleigh Hospital,09 489 7292,eversleigh.hospital@gmail.com
Fairview Care    ,09 477 3980,ynne@fairviewcare.co.nz
Franklin Village ,09 237 0870,franklin@oceaniahealthcare.co.nz
Freeling Holt House    ,09 478 5016,fhh@xtra.co.nz
Glenburn Rest Home & Hospital,09 827 7962,kerry.blackhall@bupa.co.nz
Gracedale Care Ltd,09 621 0011,dmin@gracedale.co.nz
Grace Joel Retirement Village,09 575 1572,paul.sutton@gracejoel.co.nz
Greenvalley Lodge,09 481 1000,greenvalley@oceaniahealthcare.co.nz
Gulf Views Home for the Elderly    ,09 535 6050,sue@gulfviews.co.nz
Hayman Rest Home and Hospital,09 262 0613,carolyn.hegh@bupa.co.nz
Heritage Wellsford     ,09 423 6006,dminheritage@ctchauora.co.nz
Highlands,09 533 0600,katem@metlifecare.co.nz
Hillsborough Hospital,09 625 5347,helen.saberton@bupa.co.nz
Howick Baptist Healthcare Limited  ,09 538 0804,bonnie.robinson@hbh.org.nz
Karetu House     ,09 529 0364,karetuhouse@ihug.co.nz
Kensington House - Ing Real Living,09 520 6269,diane.fischer@realliving.co.nz
Lady Allum,09 488 2900,dyallum@oceaniahealthcare.co.nz
Lady Elizabeth Home & Hospital     ,09 299 9020,dyeliz@xtra.co.nz
LifeCare Residences/Remuera Rise,09 523 0599,swithell@lcr-nz.com
Lynton Lodge Hospital   ,09 376 3502,elaine@lyntonlodgehospital.co.nz
Mary Mackillop Care NZ Limited  ,09 528 5850,rymackillopcare@xtra.co.nz
Maygrove Lifecare,09 426 6391,nager.maygrove@hll.org.nz
Maygrove Village Hospital    ,09 427 0490,dge@maygroveorewa.co.nz
Meadowbank   ,09 521 7700,eadowbank@oceaniahealthcare.co.nz
Mercy Parklands Ltd            ,09 579 7241,reception@mercyparklands.co.nz
Metlifecare 7 Saint Vincent  ,09 524 1420,paulas@metlifecare.co.nz
Metlifecare Crestwood  ,09 826 2000,jennyh@metlifecare.co.nz
Metlifecare Dannemora,07 547 4047,dmgreception@metlifecare.co.nz
Metlifecare Hibiscus Coast Village,09 421 9718,eoniek@metlifecare.co.nz
Metlifecare Highlands  ,09 533 0600,nnl@metlifecare.co.nz
Metlifecare Hillsborough Heights Village,09 626 8060,kevinb@metlifecare.co.nz
Metlifecare Longford Park Village,09 295 0040,janeg@metlifecare.co.nz
Metlifecare Pakuranga Village,09 577 1600,barbarab@metlifecare.co.nz
Metlifecare Pinesong   ,09 817 1800,eannem@metlifecare.co.nz
Metlifecare Powley     ,09 627 0700,ngelal@metlifecare.co.nz
Metlifecare The Poynton,09 488 5700,karens@metlifecare.co.nz
Northbridge Lifecare Trust   ,09 488 3083,residential@northbridge.co.nz
Northhaven Hospital,09 426 3131,catherine.holbutt@bupa.co.nz
Ons Dorp Care Centre  ,09 838 6567,woody.naicker@onsdorp.co.nz
Orongo Rest Home ,09 480 0829,bosnyak@xtra.co.nz
Pakuranga Park Rest Home     ,09 576 5990,rtin.oettli@pakurangaparkvillage.co.nz
